,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
418,Aldan,38,RU,1563136388,94,58.61,125.39,61.9,1.14
419,Cilegon,20,ID,1563136607,69,-6.02,106.05,77.0,6.93
420,Tucumcari,1,US,1563136607,24,35.17,-103.73,95.0,10.29
421,Yingcheng,68,CN,1563136607,78,30.93,113.57,78.8,6.71
422,Benghazi,0,LY,1563136450,77,32.12,20.07,80.62,6.62
423,Biak,100,ID,1563136608,97,-0.91,122.88,58.12,5.61
424,Whitehorse,90,CA,1563136608,72,60.72,-135.06,64.0,4.7
425,Gari,81,RU,1563136609,88,59.43,62.35,66.58,3.6
426,Jawad,99,IN,1563136609,77,24.6,74.86,77.74,18.01
427,Puerto del Rosario,20,ES,1563136609,73,28.5,-13.86,73.4,21.92
428,Vila Franca do Campo,20,PT,1563136399,60,37.72,-25.43,73.4,10.29
429,Tual,100,ID,1563136391,81,-5.67,132.75,77.38,20.78
430,Shache,49,CN,1563136610,29,38.42,77.24,77.92,10.09
431,Kariba,0,ZW,1563136610,65,-16.53,28.78,61.36,3.33
432,San Jose,1,HN,1563136600,34,14.25,-87.96,93.2,8.05
433,Abu Kamal,0,SY,1563136610,26,34.45,40.92,78.64,4.05
434,Monte Alegre,88,BR,1563136610,91,-2.0,-54.07,79.18,3.56
435,Sao Jose da Coroa Grande,37,BR,1563136611,92,-8.9,-35.15,72.7,4.56
436,Puerto Maldonado,75,PE,1563136611,334,-12.59,-69.19,33.8,3.36
437,Hudesti,75,RO,1563136611,93,48.15,26.5,60.01,4.47
438,Bombay,75,US,1563136611,57,44.94,-74.57,77.0,13.87
439,Bursa,75,TR,1563136612,100,40.18,29.07,64.4,5.82
440,Oriximina,84,BR,1563136612,71,-1.77,-55.87,84.22,4.83
441,Beni Mazar,0,EG,1563136612,30,28.5,30.8,82.24,15.17
442,Sarangani,100,PH,1563136612,77,5.4,125.46,80.62,12.37
443,Madison Heights,1,US,1563136613,25,42.49,-83.11,87.01,4.7
444,Udachnyy,75,RU,1563136383,72,66.42,112.4,59.0,4.47
445,Robertsport,3,LR,1563136613,83,6.75,-11.37,75.4,7.38
446,Tromso,75,NO,1563136613,70,69.65,18.96,51.8,10.29
447,Salalah,90,OM,1563136490,94,17.01,54.1,78.8,6.93
448,Fairbanks,1,US,1563136399,56,64.84,-147.72,73.99,6.93
449,Yomou,10,GN,1563136614,95,7.57,-9.26,70.36,2.28
450,Katangli,64,RU,1563136614,94,51.71,143.23,54.52,6.4
451,Sile,20,US,1563136614,19,35.56,-106.37,100.0,7.87
452,Camacha,40,PT,1563136615,83,33.08,-16.33,71.6,11.41
453,Kloulklubed,90,PW,1563136615,78,7.04,134.26,80.6,9.17
454,Atasu,0,KZ,1563136615,42,48.68,71.64,68.92,10.89
455,Peniche,90,PT,1563136172,88,39.36,-9.38,68.0,8.05
456,Parambu,11,BR,1563136615,69,-6.21,-40.7,72.34,2.17
457,Stonehaven,90,GB,1563136407,87,56.96,-2.22,55.99,5.82
458,Asyut,0,EG,1563136482,29,27.18,31.19,87.8,8.66
459,Gorin,3,BF,1563136616,49,12.34,-0.67,86.38,7.63
460,Krasnovishersk,100,RU,1563136616,99,60.4,57.08,55.78,3.49
461,Riyadh,0,SA,1563136389,9,24.63,46.72,91.4,6.93
462,Boundiali,0,CI,1563136617,87,9.53,-6.48,72.88,2.98
463,Barguzin,92,RU,1563136617,60,53.62,109.63,55.78,7.0
464,Mehamn,75,NO,1563136617,75,71.03,27.85,46.4,6.93
465,Dicabisagan,34,PH,1563136618,93,17.08,122.42,72.7,2.21
466,Pangody,3,RU,1563136618,76,65.85,74.49,68.92,12.97
467,Henties Bay,0,NA,1563136618,95,-22.12,14.28,54.0,12.73
468,Urengoy,51,RU,1563136444,81,65.96,78.37,63.7,12.17
469,Mangrol,1,IN,1563136619,56,25.33,76.51,86.74,12.1
470,Mlimba,93,TZ,1563136619,66,-8.78,35.81,64.78,1.81
471,kimparana,75,ML,1563136619,58,12.83,-4.92,83.5,5.66
472,Constitucion,75,MX,1563136491,34,23.99,-104.67,80.01,14.99
473,Bonavista,100,CA,1563136421,81,48.65,-53.11,52.0,7.0
474,Rio Gallegos,0,AR,1563136400,86,-51.62,-69.22,39.2,1.12
475,Ankang,100,CN,1563136620,60,32.73,108.99,67.48,2.64
476,Ocosingo,75,MX,1563136620,51,16.91,-92.09,81.34,5.21
477,Faya,20,SA,1563136620,53,18.39,42.45,77.0,3.36
478,Ullapool,0,GB,1563136620,82,57.9,-5.16,55.06,4.92
479,Talnakh,100,RU,1563136621,100,69.49,88.39,51.8,8.95
